date,week,econ_index,spend_TV,spend_Social,spend_Search,spend_Display,spend_Email,adstock_TV,adstock_Social,adstock_Search,adstock_Display,adstock_Email,saturated_TV,saturated_Social,saturated_Search,saturated_Display,saturated_Email,promo_Caribbean,promo_discount_Caribbean,promo_Mediterranean,promo_discount_Mediterranean,promo_Fjords,promo_discount_Fjords,bookings_Caribbean,bookings_Mediterranean,bookings_Fjords
2019-01-07,1,0.9969701598767741,188.74055184278512,72.1445831971629,113.09728112847519,37.53646526951492,6.8923546480887845,188.74055184278512,72.1445831971629,113.09728112847519,37.53646526951492,6.8923546480887845,0.3205835766740009,0.41909296160967974,0.4851934805114259,0.3193601677865894,0.2562942047389152,0,0.0,0,0.0,1,0.16593642359670935,158,105,111
2019-01-14,2,0.9975964521983345,251.6757423587622,61.64782604435095,82.14536077825811,28.725405809564908,8.296674404666367,383.79412864871176,97.7201176429324,127.38427322964819,45.61681518084662,9.675145334284124,0.4896619081727317,0.4942345716150521,0.5149247022319671,0.3631425865651307,0.3260353142434753,0,0.0,0,0.0,0,0.0,159,97,92
2019-01-21,3,0.9884176398147894,323.17880708938713,70.22958159500605,93.45087995246652,29.781697979501104,8.960105963594879,591.8346971434853,119.08964041647225,144.4045892443258,50.309264810882084,10.895135030451705,0.5967069904370028,0.5435658216887488,0.5461500863394139,0.3860758855780205,0.3526488885616763,0,0.0,0,0.0,0,0.0,160,124,89
2019-01-28,4,0.9850252412149172,272.41180630729673,65.2256093227115,230.4544702170432,32.61729067576643,9.910489054739498,686.6960943077364,124.77042953094764,288.2163059147735,55.25645984066337,12.08951606082984,0.6319118085587543,0.5551016198675216,0.7060382001863166,0.4085310225164649,0.3767434833829403,0,0.0,0,0.0,0,0.0,170,119,84
2019-02-04,5,0.9847668409783235,234.47513492738793,65.29901975933686,111.6902571881792,31.435382026240678,9.10656904074144,715.1624009428034,127.68423452481068,226.9767795540886,56.30078895453919,11.524472252907408,0.6413078492766401,0.560795238156452,0.6541555312311793,0.4130628251412203,0.3655722500428073,0,0.0,0,0.0,0,0.0,182,133,91
2019-02-11,6,0.9860236718300146,183.71762521996789,67.25447629467263,96.23426668137952,35.221064941201284,8.809864552828033,684.3313058799303,131.09659355707797,187.02497850301498,60.55641997074392,11.114759003409516,0.6311090551098663,0.5672805104532999,0.609152321791233,0.4308335398934351,0.35721822567198974,0,0.0,0,0.0,0,0.0,166,159,98
2019-02-18,7,0.9892704301878975,310.6214511011501,89.35216522787005,111.65683761345149,34.33177099756496,8.40113223672914,789.6533652171013,154.90046200640904,186.4668290146575,61.58215998439972,10.624084037411043,0.6637676051737949,0.6076900009797328,0.6084404945689548,0.434957059499482,0.34691924252926004,0,0.0,0,0.0,0,0.0,169,144,92
2019-02-25,8,0.991143335688802,265.11733241680764,85.09564941444904,115.31863080270503,42.768998976614185,10.755773314447474,817.8746880687786,162.54588041765356,189.905362408568,70.48097096959407,12.880590121929682,0.6715589839260948,0.6191141912380355,0.6127850158275211,0.4683713197453739,0.39173841084254085,0,0.0,0,0.0,0,0.0,193,139,78
2019-03-04,9,0.9867528148460138,280.86353606725413,83.75996983775266,154.34574151562924,42.05817413676778,12.527339273070734,853.3758177153991,165.03291004657945,230.30788647905644,73.77461107308511,15.10345729745667,0.680861881690758,0.6226883673336077,0.6574441951446779,0.4797580729241574,0.43025554917495124,0,0.0,0,0.0,0,0.0,176,139,79
2019-03-11,10,0.9909651198353348,361.2403715175722,88.31036378443399,130.29954885678853,39.61986828112242,22.302137357899742,958.6034439183516,170.82681880772373,222.4227034484111,72.81844326401072,25.322828817391077,0.7055800191067093,0.6307603492141743,0.6495559471041937,0.47650297770805594,0.5587212775137794,0,0.0,0,0.0,0,0.0,158,120,76
